deces_annee,sexe,deces_dep,n
2018,2,85,2975
2018,2,86,2295
2018,2,87,2281
2018,2,88,2159
2018,2,89,2102
2018,2,90,990
2018,2,91,4042
2018,2,92,5393
2018,2,93,3806
2018,2,94,4837
2018,2,95,3718
2018,2,971,1442
2018,2,972,1572
2018,2,973,352
2018,2,974,2312
2018,2,976,336
2018,2,NA,3574
2019,1,,20
2019,1,01,2126
2019,1,02,2771
2019,1,03,2323
2019,1,04,860
2019,1,05,787
2019,1,06,5926
2019,1,07,1630
2019,1,08,1304
2019,1,09,897
2019,1,10,1538
2019,1,11,2008
2019,1,12,1609
2019,1,13,9596
2019,1,14,3869
2019,1,15,959
2019,1,16,2056
2019,1,17,3816
2019,1,18,1777
2019,1,19,1607
2019,1,21,2775
2019,1,22,3561
2019,1,23,846
2019,1,24,2445
2019,1,25,2248
2019,1,26,2441
2019,1,27,2236
2019,1,28,2023
2019,1,29,5147
2019,1,2A,767
2019,1,2B,855
2019,1,30,3595
2019,1,31,5536
2019,1,32,1069
2019,1,33,7491
2019,1,34,5873
2019,1,35,4699
2019,1,36,1379
2019,1,37,3063
2019,1,38,4667
2019,1,39,1221
2019,1,40,2007
2019,1,41,1766
2019,1,42,3897
2019,1,43,1075
2019,1,44,6166
2019,1,45,3165
2019,1,46,1078
2019,1,47,1993
2019,1,48,454
2019,1,49,3832
2019,1,50,2736
2019,1,51,2839
2019,1,52,951
2019,1,53,1431
2019,1,54,3560
2019,1,55,970
2019,1,56,4325
2019,1,57,5093
2019,1,58,1409
2019,1,59,11621
2019,1,60,2979
2019,1,61,1644
2019,1,62,6859
2019,1,63,3350
2019,1,64,3748
2019,1,65,1392
2019,1,66,2914
2019,1,67,4812
2019,1,68,3496
2019,1,69,7246
2019,1,70,1029
2019,1,71,3175
2019,1,72,2840
2019,1,73,1969
2019,1,74,3061
2019,1,75,8866
2019,1,76,6464
2019,1,77,4030
2019,1,78,4188
2019,1,79,1839
2019,1,80,3204
2019,1,81,2039
2019,1,82,1314
2019,1,83,5715
2019,1,84,3016
2019,1,85,3576
2019,1,86,2492
2019,1,87,2412
2019,1,88,1973
2019,1,89,2031
2019,1,90,1154
2019,1,91,3748
2019,1,92,4833
2019,1,93,4037
2019,1,94,4732
2019,1,95,3650
2019,1,971,1803
2019,1,972,1807
2019,1,973,608
2019,1,974,2858
2019,1,976,392
2019,1,NA,4854
2019,2,,19
2019,2,01,2331
2019,2,02,2779
2019,2,03,2208
2019,2,04,899
2019,2,05,744
2019,2,06,6408
2019,2,07,1826
2019,2,08,1352
2019,2,09,904
2019,2,10,1598
2019,2,11,2121
2019,2,12,1718
2019,2,13,9768
2019,2,14,3852
2019,2,15,1062
2019,2,16,2171
2019,2,17,3879
2019,2,18,1818
2019,2,19,1727
2019,2,21,2746
2019,2,22,3655
2019,2,23,907
2019,2,24,2481
2019,2,25,2271
2019,2,26,2395
2019,2,27,2336
2019,2,28,1951
2019,2,29,5318
2019,2,2A,726
2019,2,2B,829
2019,2,30,3471
2019,2,31,5512
2019,2,32,1066
2019,2,33,7564
2019,2,34,5743
2019,2,35,4673
2019,2,36,1516
2019,2,37,3026
2019,2,38,4715
2019,2,39,1259
2019,2,40,2078
2019,2,41,1855
2019,2,42,4246
2019,2,43,1152
2019,2,44,6264
2019,2,45,3105
2019,2,46,1141
2019,2,47,1970
2019,2,48,444
2019,2,49,3645
2019,2,50,2869
2019,2,51,2767
2019,2,52,980
2019,2,53,1459
2019,2,54,3633
2019,2,55,1018
2019,2,56,4253
2019,2,57,5105
2019,2,58,1487
2019,2,59,11603
2019,2,60,3036
2019,2,61,1617
2019,2,62,7154
2019,2,63,3485
2019,2,64,3904
2019,2,65,1525
2019,2,66,2896
2019,2,67,4828
2019,2,68,3552
2019,2,69,7366
2019,2,70,983
2019,2,71,3244
2019,2,72,2911
2019,2,73,1994
2019,2,74,2901
2019,2,75,8406
2019,2,76,6508
2019,2,77,4308
2019,2,78,4260
2019,2,79,1908
2019,2,80,3123
2019,2,81,2188
2019,2,82,1295
2019,2,83,5881
2019,2,84,2991
2019,2,85,3419
2019,2,86,2451
2019,2,87,2325
2019,2,88,2089
2019,2,89,2110
2019,2,90,1045
2019,2,91,3888
2019,2,92,5449
2019,2,93,3774
2019,2,94,4967
2019,2,95,3888
2019,2,971,1616
2019,2,972,1752
2019,2,973,407
2019,2,974,2261
2019,2,976,359
2019,2,NA,2995
2020,1,01,2503
2020,1,02,3052
2020,1,03,2417
2020,1,04,957
2020,1,05,842
2020,1,06,6319
2020,1,07,1997
2020,1,08,1420
2020,1,09,916
2020,1,10,1710
2020,1,11,2254
2020,1,12,1713
2020,1,13,10793
2020,1,14,4017
2020,1,15,1089
2020,1,16,2143
2020,1,17,4054
2020,1,18,1978
2020,1,19,1647
2020,1,21,3215
2020,1,22,3507
2020,1,23,860
2020,1,24,2397
2020,1,25,2659
2020,1,26,2623
2020,1,27,2494
2020,1,28,2179
2020,1,29,5300
2020,1,2A,859
2020,1,2B,882
2020,1,30,3897
2020,1,31,5679
2020,1,32,1052
2020,1,33,7391
2020,1,34,6187
2020,1,35,4758
2020,1,36,1566
2020,1,37,3223
2020,1,38,5468
2020,1,39,1362
2020,1,40,2080
2020,1,41,1979
2020,1,42,4566
2020,1,43,1230
2020,1,44,6413
2020,1,45,3209
2020,1,46,1049
2020,1,47,2125
2020,1,48,486
2020,1,49,4067
2020,1,50,2848
2020,1,51,3218
2020,1,52,1030
2020,1,53,1502
2020,1,54,3971
2020,1,55,1096
2020,1,56,4426
2020,1,57,5779
2020,1,58,1507
2020,1,59,12885
2020,1,60,3473
2020,1,61,1670
2020,1,62,7673
2020,1,63,3540
2020,1,64,3868
2020,1,65,1508
2020,1,66,3114
2020,1,67,5384
2020,1,68,4251
2020,1,69,8485
2020,1,70,1222
2020,1,71,3472
2020,1,72,3079
2020,1,73,2380
2020,1,74,3608
2020,1,75,10283
2020,1,76,6940
2020,1,77,5075
2020,1,78,4908
2020,1,79,2017
2020,1,80,3451
2020,1,81,2163
2020,1,82,1400
2020,1,83,5969
2020,1,84,3129
2020,1,85,3618
2020,1,86,2552
2020,1,87,2401
2020,1,88,2310
2020,1,89,2163
