"IRIS";"P15_POP";"fdep15"
"022540000";125;-0,532738214820388
"022550000";142;1,19876825408042
"022560000";130;0,483929034523419
"022570000";437;-0,232368554578407
"022580000";396;2,05504933186722
"022590000";402;-0,753051624598248
"022600000";609;1,74198459672433
"022610000";389;1,3900362566273
"022620000";221;0,326571158703741
"022630000";115;-0,22954268187016
"022640000";760;3,00087465461366
"022650000";98;2,54649760850859
"022660000";51;0,432670714116278
"022670000";289;0,789219583661655
"022680000";664;-0,0701117769243675
"022690000";155;0,0749276806650809
"022700000";159;1,06503847401417
"022710000";142;-0,0144856453501888
"022720000";73;-1,97771874280712
"022730000";214;1,85841828464243
"022740000";208;0,768798994763106
"022750000";333;3,34408070255227
"022760000";133;1,71767421352902
"022770000";334;2,14088975891715
"022780000";34;-0,946336173748085
"022790000";563;-0,412205511556642
"022800000";384;0,168806684495456
"022810000";265;0,522342556069711
"022820000";418;0,456453099642062
"022830000";286;2,0423730175773
"022840000";89;1,23215522918994
"022860000";852;1,84504873125782
"022870000";1056;-0,814789057131497
"022880000";351;1,33005706869923
"022890000";428;0,0169670425273939
"022900000";2784;0,640217472774314
"022910000";412;1,12810772666031
"022920000";1259;1,14875432720852
"022930000";579;0,952114489534546
"022940000";213;0,3939623191681
"022950000";888;1,89946003508366
"022960000";1209;0,361027100182466
"022970000";107;1,69655325674524
"022980000";1482;3,07347756462269
"022990000";578;1,72676429954753
"023010000";311;0,519495401084902
"023020000";308;0,409336597012249
"023030000";675;-2,9641775884996
"023040000";2854;3,11601020977341
"023050000";3143;3,04897773286074
"023060000";562;2,19116466050941
"023070000";2123;1,20496886392045
"023080000";497;1,99706822769002
"023090000";667;0,638065021382007
"023100000";270;1,31876144723614
"023110000";131;0,248727622284985
"023120000";1166;1,63005012391026
"023130000";477;2,40971633659312
"023150000";1676;1,30282423836659
"023160000";138;-0,111858947477542
"023170000";220;0,374512004833718
"023180000";1405;1,95881724604486
"023190000";486;2,598905089413
"023200000";268;-0,427066579369831
"023210000";932;1,1166512559463
"023220000";396;-0,13856123495374
"023230000";127;-0,063380099702815
"023240000";271;0,714154613965198
"023260000";494;0,497893453337354
"023270000";173;2,12568943923616
"023280000";548;0,30271548908036
"023290000";420;-0,377697667472512
"023300000";418;-1,16819997887946
"023310000";120;2,87278835196976
"023320000";267;1,61244159663299
"023330000";159;2,11952225860916
"023340000";2956;2,68165895829058
"023350000";199;0,617673691855086
"023360000";1007;0,278510049818592
"023370000";188;0,640260141100168
"023380000";265;1,45130690984114
"023390000";689;1,53013758834071
"023400101";1874;1,25251775733206
"023400201";2221;1,07812489186141
"023400301";1240;1,4402718962528
"023410000";290;1,69775348268943
"023420000";131;-0,460730635687853
"023430000";79;0,588425783949659
"023450000";44;-0,422384926652345
"023460000";677;0,945639039073642
"023470000";454;-0,505987763082753
"023490000";53;-0,938098653389179
"023500000";143;2,7932659464143
"023510000";124;0,236025964616229
"023520000";569;2,65484032488197
"023530000";307;0,91703853762509
"023540000";92;-0,190522889472444
"023550000";989;-0,253186303177682
"023560000";236;1,40352498158546
"023570000";76;-0,814493421793263
"023580000";366;2,11065402051871
"023590000";1313;0,601314740827464
"023600000";2193;0,569443565654188
"023610000";4919;3,34126842210501
"023620000";251;-0,0187544139341921
"023630000";419;1,89571677709675
"023640000";238;-0,83297539593934
"023660000";311;2,21417182217381
"023670000";139;0,815763711142344
"023680000";583;0,832688715952434
"023690000";246;1,44417815712244
"023700000";587;0,8351234538506
"023710000";1650;1,13731609684919
"023720000";396;1,41877036716826
"023730000";223;0,389134955373662
"023740000";896;0,869355369646351
"023750000";170;0,168156811292795
"023760000";164;0,946349737059519
"023770000";150;0,0839629758023291
"023780000";151;2,99651064783117
"023790000";233;0,13618845273318
"023800000";28;-0,262465635849242
"023810101";3341;2,63255961762172
"023810201";2792;2,20834505872241
"023810301";1641;1,29219681702883
"023810401";1384;2,38853778426658
"023820000";1413;-0,194763250908391
"023830000";1481;-0,189345170899206
"023840000";48;1,13896863766198
"023850000";155;0,31327760668627
"023860000";244;1,48847816181058
"023870000";1037;-0,268767637307741
"023880000";223;0,990741635927214
"023890000";634;0,370374912535522
"023900000";275;1,62664333751123
"023910000";211;1,03036593171514
"023920000";306;-0,0141347294681255
"023930000";146;0,201535718923811
"023950000";154;-0,604617519006717
"023960000";63;1,09323463578264
"023970000";1232;1,26240790215641
"023980000";278;1,00345959113511
"023990000";583;1,10331948109834
"024000000";149;0,424810141841426
"024010000";201;0,260899155083982
"024020000";40;-1,24237931061707
"024030000";280;1,27259292095876
"024040000";188;1,0034804835104
"024050000";575;0,455086676023915
"024060000";140;0,704806219786036
"024070000";174;-0,426227909265931
"024080101";2452;5,27948266562488
"024080102";1467;5,96640222222734
"024080103";1173;3,91433853223954
"024080201";3888;2,08911775319139
"024080301";1851;0,954876335752215
"024080401";1049;0,0238813633195907
"024080402";2043;2,63725082557119
"024080501";3564;0,0631529048340049
"024080601";2295;0,944537216072471
"024080701";120;2,60869384037315
"024080801";3372;2,58706060923413
"024080901";2084;0,0236419905124267
